id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
86239,F,1.4875,1.175,0.35,33.849303,15.592225,6.747181,7.824462,11.0
86240,M,1.3875,1.0625,0.3625,24.62154075,8.788345,5.17378375,6.463686,9.0
86241,I,0.875,0.6625,0.225,5.85417175,2.11203775,1.11980525,1.984465,7.0
86242,M,1.5,1.275,0.4125,31.808139,12.34620725,6.8322295,8.9300925,11.0
86243,I,0.6875,0.5375,0.1625,3.38776525,1.5025235,0.52446575,1.14815475,6.0
86244,M,1.5375,1.2,0.4375,34.5580405,17.916884,7.41339425,8.50485,9.0
86245,I,0.6875,0.5,0.175,2.608154,1.1056305,0.623689,0.850485,5.0
86246,M,1.6,1.25,0.425,32.0065855,13.08329425,7.52679225,9.2135875,9.0
86247,M,1.675,1.3,0.5125,50.53298375,19.447757,9.1568885,17.57669,17.0
86248,I,1.325,1.0375,0.3375,21.659018,11.94931425,4.422522,5.11708475,8.0
86249,I,1.2,0.9375,0.325,13.99047825,5.37223025,3.89805625,4.819415,9.0
86250,F,1.3375,1.125,0.3125,22.5378525,9.87980075,4.01145425,6.9456275,9.0
86251,I,1.1875,0.9125,0.275,14.004653,6.25106475,2.8066005,3.96893,8.0
86252,F,1.2375,0.95,0.3125,17.78931125,7.27164675,3.7137845,5.2446575,11.0
86253,M,1.5375,1.1875,0.4,31.2694985,11.0846545,6.84640425,10.0640725,14.0
86254,M,1.4125,1.1375,0.4,29.69610125,12.8423235,6.010094,8.9300925,12.0
86255,F,1.475,1.1375,0.4125,30.5324115,10.9712565,6.917278,8.788345,13.0
86256,M,1.575,1.2875,0.45,37.6197865,15.52135125,7.654365,11.623295,17.0
86257,M,1.3375,1.025,0.375,22.92057075,9.99319875,5.20213325,6.6621325,9.0
86258,M,1.4875,1.1375,0.3875,31.56716825,15.03940975,6.690482,7.7961125,10.0
86259,I,1.0875,0.8125,0.25,11.7083435,5.91087075,2.14038725,2.76407625,6.0
86260,F,1.275,1.0,0.3125,21.58814425,8.17883075,4.819415,5.5281525,13.0
86261,I,1.0125,0.775,0.25,9.63883,4.6776675,1.4458245,2.28213475,8.0
86262,I,0.9625,0.825,0.2625,12.2753335,4.6209685,2.65067825,3.40194,8.0
86263,F,1.4125,1.1375,0.3625,23.71435675,9.6671795,4.69184225,7.7961125,12.0
86264,M,1.55,1.25,0.3875,31.79396425,15.1669825,6.25106475,8.9300925,10.0
86265,I,0.6375,0.4875,0.1625,2.16873675,0.97805775,0.510291,0.7654365,6.0
86266,I,0.9625,0.725,0.225,7.9095105,3.18931875,1.85689225,2.2963095,6.0
86267,M,1.2875,1.0,0.3375,28.066005,13.1825175,6.2652395,7.5126175,8.0
86268,I,0.7375,0.5875,0.2,3.86970675,1.60174675,0.737087,1.190679,6.0
86269,M,1.4875,1.175,0.4125,33.26813825,14.67086625,5.4714535,9.07184,13.0
86270,I,1.2625,0.9625,0.3,14.8834875,6.25106475,2.93417325,4.55009475,9.0
86271,M,1.5125,1.2125,0.4125,35.25260325,13.13999325,6.78970525,9.7805775,10.0
86272,F,1.625,1.2875,0.475,37.15201975,14.401546,10.21999475,12.8423235,16.0
86273,I,0.775,0.5625,0.2,3.92640575,1.360776,0.83631025,1.417475,7.0
86274,F,1.4375,1.1875,0.3625,26.2232875,11.35397475,6.2652395,7.5126175,14.0
86275,I,0.8875,0.6625,0.2125,6.44951125,2.65067825,1.37495075,1.984465,6.0
86276,M,1.3875,1.1,0.35,22.4244545,10.6310625,5.10291,6.80388,11.0
86277,I,0.4125,0.3125,0.0,0.5953395,0.21262125,0.12757275,0.1417475,4.0
86278,I,1.0875,0.8125,0.25,8.15048125,3.44446425,1.7293195,2.664853,10.0
86279,M,1.625,1.275,0.4625,45.7277435,18.32795175,8.29222875,10.3475675,13.0
86280,I,0.6875,0.5125,0.1875,3.30271675,1.34660125,0.80796075,0.850485,5.0
86281,I,1.25,0.8875,0.3125,14.81261375,6.02426875,3.175144,3.96893,9.0
86282,I,1.2125,0.9,0.2875,13.33843975,5.06038575,3.24601775,3.96893,8.0
86283,F,1.575,1.225,0.4125,34.5013415,15.03940975,8.391452,9.07184,9.0
86284,I,0.95,0.6875,0.225,7.55514175,2.70737725,1.54504775,2.1262125,7.0
86285,M,1.3125,1.05,0.3375,22.92057075,11.623295,4.12485225,6.3786375,8.0
86286,M,1.4,1.125,0.4,28.76056775,12.8423235,6.78970525,9.8939755,14.0
86287,F,1.5875,1.2125,0.4,33.26813825,16.159215,7.767763,9.4970825,9.0
86288,I,1.1,0.8625,0.2875,11.850091,4.9611625,2.62232875,3.0900955,7.0
86289,I,0.7,0.525,0.1625,2.8632995,1.17650425,0.58116475,0.850485,5.0
86290,M,1.525,1.2125,0.425,35.3518265,11.8784405,7.72523875,10.20582,15.0
86291,M,1.6,1.25,0.4125,40.7382315,17.73261225,8.71747125,10.21999475,10.0
86292,F,1.625,1.25,0.425,36.117263,15.4504775,8.448151,10.20582,15.0
86293,I,0.725,0.5625,0.1875,4.20990075,1.871067,0.89300925,1.2757275,6.0
86294,I,1.15,0.9125,0.275,13.53688625,5.71242425,2.551455,3.4869885,8.0
86295,F,1.25,1.0,0.3375,21.659018,9.82310175,3.8271825,5.386405,10.0
86296,I,1.425,1.1,0.375,24.39474475,10.6877615,4.60679375,7.2291225,11.0
86297,F,1.4,1.0625,0.4,24.79163775,9.07184,3.6570855,7.7961125,21.0
86298,I,1.225,0.95,0.3375,15.8473705,5.6699,3.8271825,4.7910655,8.0
86299,M,1.45,1.1125,0.4,35.50774875,15.80484625,6.293589,9.355335,10.0
86300,M,1.1,0.8875,0.2625,12.813974,5.88252125,2.82077525,3.685435,10.0
86301,I,0.7375,0.55,0.175,3.6003865,1.474174,0.4252425,0.9922325,4.0
86302,I,0.9875,0.75,0.225,7.2858215,2.7499015,1.587572,2.26796,6.0
86303,M,1.5125,1.1875,0.3875,27.22969475,12.57300325,4.89028875,7.5126175,10.0
86304,F,1.5875,1.25,0.4375,36.3157095,13.05494475,8.2497045,11.3398,12.0
86305,M,1.4875,1.1625,0.375,29.27085875,11.94931425,5.8683465,10.20582,10.0
86306,I,1.5375,1.2125,0.4125,29.9654215,13.93377925,7.314171,8.50485,13.0
86307,I,1.2875,1.0125,0.3625,19.17843675,9.2702865,4.09650275,4.9611625,9.0
86308,I,0.9375,0.7,0.2375,6.80388,2.42388225,2.097863,2.1262125,9.0
86309,F,1.6,1.25,0.425,31.9498865,13.93377925,7.24329725,10.0640725,11.0
86310,F,1.3625,1.025,0.4,25.16018125,8.164656,4.819415,8.9300925,16.0
86311,M,1.025,0.7875,0.25,9.28446125,3.40194,1.7293195,2.9766975,9.0
86312,I,1.3125,1.025,0.35,21.21960075,10.77281,4.706017,5.8116475,8.0
86313,M,1.575,1.2375,0.35,34.9549335,16.9813505,6.90310325,8.9300925,9.0
86314,I,1.4125,1.05,0.3625,21.035329,8.12213175,3.685435,6.520385,16.0
86315,I,1.1875,0.875,0.2875,13.380964,5.386405,2.70737725,4.252425,10.0
86316,M,1.675,1.3,0.4375,39.405805,13.891255,8.46232575,11.623295,17.0
86317,F,1.3125,1.0125,0.35,23.6151335,12.26115875,4.3941725,5.726599,7.0
86318,M,1.1375,0.925,0.3,14.69921575,7.07320025,2.93417325,3.855532,9.0
86319,I,1.3875,1.125,0.35,23.26076475,11.97766375,4.46504625,6.6621325,7.0
86320,F,1.6875,1.3125,0.4375,41.2494045,18.75319425,8.75319425,11.4815475,10.0
86321,I,1.2125,0.9,0.3,14.47241975,6.67630725,3.18931875,4.53592,8.0
86322,M,1.425,1.1125,0.3875,25.92561775,10.47514025,5.20213325,7.7961125,10.0
86323,I,0.7875,0.575,0.175,4.252425,1.587572,0.963883,1.360776,7.0
86324,F,1.3125,1.1,0.3875,31.62386725,14.4298955,6.7755305,8.0796075,11.0
86325,M,1.675,1.2875,0.4,44.55123925,19.78154375,9.14271375,12.757275,11.0
86326,F,1.475,1.1125,0.3875,27.895908,13.79203175,6.78970525,7.7961125,12.0
86327,I,0.95,0.725,0.225,8.63242275,3.96893,1.927766,2.324659,9.0
86328,F,1.7625,1.4375,0.5,49.384829,20.695135,10.16329575,16.8679525,26.0
86329,I,1.1625,0.925,0.275,12.99824575,5.329706,2.56562975,3.5436875,8.0
86330,M,1.45,1.0875,0.3125,26.12406425,12.94154675,5.726599,6.520385,9.0
86331,M,1.4,1.075,0.325,21.0069795,9.2135875,5.25883225,5.386405,10.0
86332,M,1.4375,1.125,0.3875,25.16018125,11.04213025,6.42116175,7.7961125,8.0
86333,F,1.1625,0.8875,0.275,12.530479,5.59902625,2.8066005,3.685435,7.0
86334,F,1.675,1.3625,0.4,43.09124,18.5122235,10.53183925,12.3887315,9.0
86335,F,1.425,1.1625,0.375,28.39202425,10.4042665,6.520385,8.3631025,12.0
86336,M,1.5625,1.25,0.4125,32.89959475,14.92601175,6.90310325,9.355335,11.0
86337,I,1.2875,0.9375,0.3125,14.81261375,5.386405,3.061746,4.53592,10.0
86338,F,1.5375,1.1625,0.425,32.4601775,13.947954,7.3425205,9.2135875,13.0
86339,M,1.4125,1.125,0.375,27.22969475,12.417081,5.62737575,7.087375,10.0
86340,M,1.6375,1.325,0.475,36.38658325,14.92601175,8.4765005,9.355335,18.0
86341,I,0.9625,0.7375,0.325,7.2858215,3.1467945,1.68679525,2.11203775,6.0
86342,I,0.95,0.7,0.2375,7.98038425,3.55786225,1.4458245,2.551455,7.0
86343,M,1.5625,1.2,0.4375,34.5580405,15.57805025,7.10154975,10.3475675,11.0
86344,M,1.375,1.1,0.3875,26.2232875,11.97766375,5.2446575,7.7961125,10.0
86345,M,1.85,1.4,0.4875,57.1242425,23.1048425,12.96989625,16.045817,14.0
86346,I,0.725,0.525,0.1625,3.38776525,1.360776,0.58116475,0.850485,6.0
86347,I,1.0625,0.8125,0.2625,10.33339275,4.46504625,2.25378525,2.9766975,7.0
86348,M,1.3125,1.0125,0.3625,20.0997955,7.427569,4.649318,5.6699,11.0
86349,M,1.3875,1.1125,0.325,21.9708625,10.035723,4.762716,5.5281525,10.0
86350,M,1.3125,1.0,0.3625,21.8007655,8.1363065,5.046211,7.7961125,13.0
86351,I,0.85,0.6,0.2125,5.1879585,2.19708625,0.963883,1.5592225,7.0
86352,F,1.5125,1.175,0.425,30.730858,14.84096325,5.9250455,7.7961125,9.0
86353,F,1.6375,1.275,0.4375,38.6403685,16.74037975,9.015141,11.32562525,11.0
86354,F,1.6375,1.2625,0.4125,36.86852475,16.499409,8.3631025,9.07184,10.0
86355,M,1.725,1.3625,0.475,47.9390045,19.901349,10.092422,13.4660125,11.0
86356,F,1.4,1.1375,0.375,25.0893075,11.8217415,5.34388075,7.087375,9.0
86357,I,1.1625,0.8625,0.2625,13.90542975,6.520385,3.61456125,3.5436875,7.0
86358,I,1.5125,1.1625,0.3625,28.803092,12.757275,6.2652395,7.2291225,10.0
86359,F,1.675,1.2375,0.4125,36.55668025,17.81766075,8.561549,10.489315,10.0
86360,F,1.575,1.225,0.4125,31.9498865,11.49572225,7.15824875,8.6465975,15.0
86361,M,1.175,0.9125,0.3,12.3887315,4.77689075,2.65067825,3.8271825,15.0
86362,M,1.6,1.2375,0.425,36.173962,16.499409,8.17883075,8.3631025,9.0
86363,I,1.1875,0.9125,0.275,13.437663,5.40057975,2.9199985,4.252425,8.0
86364,I,1.0,0.7625,0.2375,9.19941275,3.458639,1.80019325,2.83495,12.0
86365,M,1.2375,0.975,0.3125,16.31513725,7.01650125,3.0333965,5.5281525,10.0
86366,F,1.9375,1.55,0.4875,72.4329725,32.13415825,14.18892475,17.57669,11.0
86367,I,1.0875,0.8125,0.2625,14.5432935,5.953395,3.04757125,3.40194,6.0
86368,M,1.25,0.975,0.325,15.43630275,7.314171,2.721552,4.819415,8.0
86369,M,1.6125,1.275,0.4875,38.725417,14.401546,8.278054,13.324265,9.0
86370,I,1.375,1.0625,0.3375,24.87668625,8.4198015,6.0951425,8.0796075,12.0
86371,F,1.475,1.1625,0.4125,32.78619675,15.94659375,8.63242275,7.93786,10.0
86372,I,1.3,0.9875,0.3125,16.9246515,8.83086925,3.9972795,4.819415,8.0
86373,M,1.45,1.075,0.35,23.20406575,9.73805325,5.17378375,6.23689,8.0
86374,M,1.3625,1.1,0.3375,23.48756075,8.8733935,4.86193925,7.29999625,10.0
86375,F,1.3125,1.0125,0.35,22.6512505,10.02154825,4.89028875,5.0745605,9.0
86376,M,1.55,1.225,0.3375,28.5479465,13.380964,6.76135575,7.93786,11.0
86377,M,1.525,1.175,0.4125,30.80173175,14.75591475,6.81805475,8.788345,11.0
86378,I,0.9,0.675,0.25,6.180191,2.82077525,1.11980525,2.26796,10.0
86379,I,1.3,0.9875,0.3125,15.5071765,6.9456275,3.98310475,3.98310475,8.0
86380,I,1.5625,1.225,0.4125,29.44095575,15.5638755,6.16601625,7.087375,8.0
86381,F,1.3625,1.0375,0.325,16.71203025,8.561549,3.67126025,4.9611625,8.0
86382,F,1.5625,1.2375,0.425,30.1922175,14.98271075,7.78193775,8.0796075,12.0
86383,M,1.475,1.1125,0.35,24.87668625,11.35397475,4.9044635,7.37087,10.0
86384,M,1.475,1.1875,0.425,27.499015,10.87203325,6.64795775,8.9300925,10.0
86385,M,1.5625,1.225,0.425,34.8415355,15.2803805,7.9095105,9.8939755,12.0
86386,I,1.0125,0.7875,0.2625,9.79475225,3.58621175,1.984465,2.83495,7.0
86387,M,1.375,1.075,0.35,23.88445375,10.262519,5.556502,5.159609,9.0
86388,M,1.4625,1.1125,0.3875,24.73493875,11.72251825,4.77689075,7.5126175,11.0
86389,M,1.6875,1.2625,0.45,40.83745475,17.98775775,8.57572375,10.0073735,10.0
86390,I,1.2375,0.95,0.3125,16.34348675,6.747181,3.58621175,5.2446575,11.0
86391,I,0.925,0.725,0.1875,7.98038425,3.75630875,1.587572,1.927766,7.0
86392,M,1.525,1.2,0.4125,31.694741,14.628342,8.051258,8.6465975,10.0
86393,M,1.1125,0.85,0.2875,13.53688625,4.74854125,2.721552,5.10291,11.0
86394,I,1.3125,1.0375,0.3125,20.31241675,9.76640275,4.52174525,5.17378375,8.0
86395,M,1.375,1.125,0.375,26.2232875,9.7238785,5.20213325,7.7961125,11.0
86396,I,0.9625,0.8125,0.2875,10.92873225,4.32329875,2.097863,3.118445,8.0
86397,F,1.4375,1.125,0.4,27.14794075,12.09106175,4.57844425,8.0796075,15.0
86398,F,1.7625,1.375,0.4875,49.32813,24.11124975,9.07184,13.891255,11.0
86399,M,1.3125,1.0,0.3375,22.11261,9.36950975,4.60679375,5.9250455,8.0
86400,I,1.125,0.875,0.3,9.865626,3.41611475,1.7860185,3.8271825,12.0
86401,F,1.4125,1.1375,0.375,28.33532525,11.736693,5.953395,7.767763,12.0
86402,F,1.8,1.45,0.5125,53.99162275,25.24522975,11.38232425,11.056305,11.0
86403,M,1.425,1.1125,0.375,31.127751,14.52911875,6.44951125,7.654365,10.0
86404,I,1.4375,1.1375,0.3375,23.00561925,9.85145125,4.86193925,6.0384435,10.0
86405,M,1.475,1.175,0.3625,26.32251075,12.94154675,5.57067675,6.520385,10.0
86406,I,1.25,0.95,0.3125,14.78426425,6.8889285,3.04757125,4.6776675,8.0
86407,M,1.525,1.2375,0.425,36.35823375,16.1308655,8.901743,9.07184,11.0
86408,F,1.25,0.9625,0.3375,17.08057375,8.32057825,3.64291075,4.53592,8.0
86409,M,1.525,1.2375,0.4,31.96406125,14.911837,6.8322295,9.07184,11.0
86410,M,1.5625,1.2375,0.425,35.4652245,15.46465225,7.27164675,9.4970825,11.0
86411,I,0.7,0.525,0.2,3.98310475,1.587572,0.75126175,0.97805775,7.0
86412,M,1.3,1.025,0.3125,19.504456,8.3064035,3.9405805,5.6699,9.0
86413,F,1.575,1.2,0.4125,30.4190135,13.6928085,6.180191,8.9300925,10.0
86414,I,0.95,0.7125,0.25,7.95203475,3.18931875,1.6726205,1.984465,6.0
86415,I,1.4375,1.15,0.375,24.56484175,11.41067375,5.48562825,6.066793,11.0
86416,M,1.5875,1.275,0.4,35.19590425,15.4504775,8.66077225,8.9300925,11.0
86417,F,1.6,1.25,0.4375,36.003865,14.685041,8.23552975,10.6310625,11.0
86418,F,1.55,1.2125,0.4125,37.0527965,14.78426425,8.34892775,8.51902475,12.0
86419,F,1.45,1.125,0.375,27.91008275,13.60776,6.05261825,7.3425205,10.0
86420,M,1.2,0.9125,0.3,16.5844575,6.2085405,4.4508715,4.3941725,8.0
86421,F,1.575,1.175,0.4,39.179009,19.63202875,7.69688925,8.77417025,12.0
86422,F,1.45,1.125,0.4,26.46425825,12.3320325,5.159609,7.654365,10.0
86423,F,1.5,1.1625,0.375,31.18445,14.04717725,6.08096775,8.221355,9.0
86424,I,0.85,0.6375,0.1875,5.3013565,2.33883375,1.14815475,1.417475,5.0
86425,I,0.9625,0.7,0.2375,9.63883,5.499803,1.40330025,2.26796,7.0
86426,M,1.4125,1.0875,0.35,24.720764,10.9712565,5.8683465,7.5126175,9.0
86427,I,0.825,0.6625,0.225,5.5281525,2.154562,1.03475675,1.8427175,6.0
86428,M,0.925,0.65,0.2,6.81805475,3.061746,1.51669825,1.984465,6.0
86429,I,1.275,1.0,0.325,18.80989325,7.994559,4.5642695,5.783298,8.0
86430,F,1.375,1.075,0.375,22.2543575,10.149121,4.706017,6.520385,10.0
86431,I,0.5,0.3625,0.125,1.09145575,0.3118445,0.226796,0.283495,5.0
86432,I,0.95,0.75,0.225,7.98038425,3.798833,1.0489315,2.26796,6.0
86433,F,1.55,1.175,0.425,35.76289425,18.01610725,6.56290925,8.20718025,9.0
86434,M,1.1375,0.8875,0.3125,17.19397175,9.468733,3.84135725,4.252425,9.0
86435,I,1.175,0.9,0.3,14.75591475,5.499803,3.40194,4.819415,9.0
86436,I,1.0625,0.8,0.3,10.02154825,4.46504625,2.1829115,2.9766975,6.0
86437,F,1.575,1.225,0.3875,32.715323,13.1825175,6.2652395,8.9300925,9.0
86438,F,1.45,1.05,0.4,25.8263945,9.70970375,6.2652395,7.087375,11.0
86439,M,1.1625,0.875,0.35,16.45688475,5.613201,3.6003865,5.5281525,14.0
86440,F,1.3125,1.0375,0.325,18.27125275,8.221355,3.7704835,5.953395,11.0
86441,F,1.5125,1.1875,0.4125,31.56716825,13.4660125,6.80388,8.788345,10.0
86442,I,1.375,1.0875,0.35,21.829115,9.51125725,4.025629,5.2446575,9.0
86443,F,1.425,1.15,0.375,31.19862475,15.35125425,7.52679225,7.5126175,10.0
86444,M,1.3625,1.0625,0.25,17.19397175,7.3425205,3.9405805,5.2446575,9.0
86445,F,0.925,0.6875,0.2,6.30776375,2.67902775,1.31825175,2.1262125,7.0
86446,M,1.4125,1.1,0.3875,23.7852305,9.865626,6.22271525,6.80388,9.0
86447,M,1.5,1.175,0.375,26.12406425,11.97766375,5.9250455,6.80388,8.0
86448,M,1.2125,0.8875,0.325,14.004653,5.51397775,3.35941575,4.819415,10.0
86449,F,1.15,0.875,0.2875,13.664459,5.17378375,3.0333965,4.3941725,15.0
86450,M,1.5,1.2,0.4125,31.31202275,13.73533275,5.9817445,8.0796075,9.0
86451,F,1.4625,1.15,0.4,28.19357775,12.23280925,6.53455975,8.15048125,9.0
86452,I,0.6375,0.475,0.1625,2.83495,0.8788345,0.453592,0.7087375,5.0
86453,I,1.175,0.925,0.3,15.74814725,7.087375,3.41611475,3.855532,8.0
86454,F,1.575,1.1875,0.3875,29.540179,12.47378,7.6260155,8.164656,11.0
86455,I,0.7875,0.6,0.1875,4.309124,1.85689225,0.963883,1.3891255,7.0
86456,I,0.525,0.375,0.1,1.34660125,0.510291,0.18427175,0.3118445,5.0
86457,I,1.2125,0.875,0.325,13.39513875,6.3219385,2.948348,3.5436875,8.0
86458,M,1.25,1.0,0.3375,16.386011,6.67630725,3.69960975,5.726599,10.0
86459,F,1.0125,0.775,0.2,8.57572375,3.2601925,1.77184375,2.6932025,13.0
86460,I,0.9375,0.725,0.25,6.80388,2.31048425,1.6159215,2.1262125,6.0
86461,I,1.1,0.9,0.3,12.68640125,5.71242425,2.0695135,3.69960975,8.0
86462,I,1.025,0.7625,0.25,10.30504325,4.74854125,2.4097075,2.45223175,6.0
86463,M,1.4125,1.125,0.3625,24.777463,12.360382,3.7704835,6.80388,9.0
86464,I,1.325,1.0625,0.3,24.720764,10.70193625,5.71242425,6.16601625,8.0
86465,M,1.4875,1.225,0.4125,27.499015,11.94931425,5.5848515,7.93786,18.0
86466,I,1.0625,0.8375,0.25,10.02154825,4.46504625,2.097863,2.9766975,7.0
86467,M,1.4375,1.175,0.3125,23.9553275,11.26892625,4.3941725,6.520385,8.0
86468,I,0.875,0.6625,0.2125,6.08096775,2.84912475,1.31825175,1.85689225,7.0
86469,I,1.25,0.9375,0.3,15.49300175,6.633783,3.8271825,4.6776675,9.0
86470,I,1.1875,0.9375,0.3125,14.118051,6.73300625,2.8066005,3.8271825,8.0
86471,F,1.5,1.1875,0.4,27.76833525,9.922325,6.2652395,9.922325,13.0
86472,F,1.35,1.05,0.35,22.226008,10.64523725,5.51397775,5.8683465,8.0
86473,M,1.5625,1.2125,0.45,34.23202125,16.4143605,7.41339425,8.3631025,11.0
86474,M,1.4375,1.1125,0.4,27.88173325,11.736693,6.9456275,7.654365,10.0
86475,F,0.9375,0.7125,0.2375,7.427569,3.3735905,1.63009625,1.984465,7.0
86476,I,1.3125,1.0,0.35,19.12173775,9.51125725,3.7137845,5.953395,8.0
86477,F,1.525,1.1375,0.4875,40.25629,17.78931125,9.70970375,11.623295,22.0
86478,I,1.4,1.0625,0.325,20.638436,10.78698475,4.40834725,5.9250455,9.0
86479,I,1.2,0.925,0.25,13.25339125,5.953395,3.231843,3.8271825,8.0
86480,M,1.6125,1.2125,0.4375,31.694741,15.592225,7.38504475,10.77281,12.0
86481,I,1.0875,0.8125,0.275,11.58077075,4.97533725,2.608154,3.40194,7.0
86482,F,1.525,1.175,0.375,28.64716975,14.38737125,5.14543425,10.20582,10.0
86483,M,1.6125,1.225,0.3875,31.694741,14.35902175,7.0023265,8.0796075,12.0
86484,I,1.2875,0.9375,0.3125,15.3937785,6.747181,3.58621175,4.1106775,7.0
86485,F,1.3875,1.0875,0.35,21.0069795,8.46232575,5.25883225,6.690482,9.0
86486,I,0.8375,0.625,0.225,5.00368675,2.08368825,1.6726205,1.70097,7.0
86487,M,1.5,1.2375,0.4375,32.998818,13.9763035,7.47009325,9.4970825,15.0
86488,F,1.525,1.225,0.4,32.034935,14.92601175,8.57572375,8.6465975,11.0
86489,F,1.5625,1.2125,0.4375,35.25260325,14.75591475,9.695529,9.2135875,10.0
86490,I,1.2875,0.975,0.3125,16.40018575,7.540967,3.10427025,4.3941725,7.0
86491,M,1.4125,1.125,0.425,31.127751,11.4815475,6.010094,8.788345,14.0
86492,I,1.175,0.8875,0.2625,14.1464005,6.6621325,3.18931875,4.12485225,10.0
86493,M,1.0,0.775,0.25,8.51902475,3.92640575,1.6159215,2.83495,10.0
86494,I,1.2875,0.975,0.3125,24.56484175,10.19164525,5.71242425,7.2291225,13.0
86495,F,1.4375,1.1625,0.3625,27.8675585,13.42348825,5.8116475,7.5126175,9.0
86496,M,1.8,1.4375,0.5625,53.28288525,26.932025,13.551061,14.5999925,12.0
86497,I,1.0875,0.825,0.275,12.94154675,5.91087075,2.721552,3.96893,9.0
86498,I,1.1,0.8375,0.25,11.55242125,5.3580555,2.65067825,3.33106625,8.0
86499,I,0.9625,0.7625,0.25,8.66077225,3.515338,1.9561155,2.551455,7.0
86500,I,0.575,0.4375,0.1625,1.82854275,0.737087,0.41106775,0.5953395,5.0
86501,M,1.3,1.0125,0.3375,22.0275615,8.46232575,3.95475525,6.27941425,10.0
86502,I,1.05,0.8125,0.25,9.752228,3.40194,2.5231055,2.83495,7.0
86503,F,1.6625,1.3,0.4375,39.70347475,16.839603,8.57572375,10.9145575,10.0
86504,F,1.375,1.05,0.3125,26.09571475,10.8011595,5.68407475,6.23689,9.0
86505,I,0.6875,0.5125,0.1875,3.86970675,1.190679,0.80796075,0.9355335,5.0
86506,M,0.9625,0.725,0.2375,7.314171,2.59397925,1.13398,2.4097075,15.0
86507,M,1.2,1.0,0.35,20.93610575,8.91591775,4.18155125,5.6699,8.0
86508,M,1.4,1.125,0.3625,23.81358,10.33339275,5.00368675,7.37087,10.0
86509,I,0.9125,0.6625,0.2125,6.30776375,2.9199985,1.37495075,1.984465,6.0
86510,M,1.3625,1.075,0.3625,20.19901875,8.561549,4.479221,6.6621325,11.0
86511,F,1.4875,1.1375,0.425,31.694741,15.52135125,7.47009325,8.0796075,8.0
86512,I,0.9375,0.7,0.225,8.66077225,4.0539785,1.88524175,2.1829115,7.0
86513,I,0.9375,0.675,0.2,5.6699,2.22543575,1.48834875,1.984465,7.0
86514,F,1.5375,1.175,0.3875,32.41765325,14.64251675,6.8889285,8.9300925,12.0
86515,F,1.6375,1.3,0.5125,41.4753185,17.4349425,9.17106325,12.6155275,13.0
86516,F,1.625,1.2625,0.4,37.40716525,16.0174675,7.824462,9.4970825,10.0
86517,M,1.4375,1.125,0.3375,22.21183325,10.9712565,4.66349275,5.10291,8.0
86518,M,1.6,1.2125,0.4125,34.79901125,17.293195,7.767763,8.50485,9.0
86519,I,1.075,0.8625,0.275,9.02931575,3.912231,2.2963095,3.5436875,8.0
86520,M,1.2125,0.9125,0.3375,15.8473705,6.5487345,3.30271675,4.29494925,9.0
86521,F,1.5625,1.2375,0.4375,36.61337925,16.4143605,8.3631025,10.489315,14.0
86522,M,1.4375,1.125,0.4,28.25027675,11.01378075,6.10931725,9.63883,17.0
86523,M,1.775,1.3875,0.4875,54.7995835,22.69377475,14.35902175,12.45960525,17.0
86524,M,1.4125,1.075,0.3625,23.65765775,11.4248485,5.6699,6.520385,8.0
86525,F,1.225,0.95,0.3,16.91047675,7.24329725,3.742134,5.386405,8.0
86526,I,0.8375,0.625,0.1875,4.80524025,1.97029025,0.8788345,1.247378,6.0
86527,I,1.2625,0.9625,0.3625,18.5689225,7.10154975,3.78465825,5.5281525,13.0
86528,F,1.5125,1.225,0.425,32.6869735,15.1102835,9.87980075,8.23552975,9.0
86529,I,1.25,0.95,0.325,18.597272,7.3425205,3.6570855,5.10291,11.0
86530,I,1.1,0.8125,0.275,10.375917,4.932813,2.097863,3.40194,6.0
86531,I,1.1,0.875,0.275,11.5382465,5.99591925,2.08368825,3.685435,8.0
86532,F,1.2875,1.0,0.3625,21.4605715,9.2135875,3.685435,5.953395,10.0
86533,I,0.7125,0.5375,0.175,3.04757125,1.530873,0.56699,0.9922325,5.0
86534,M,1.3875,1.0875,0.3375,22.736299,11.75086775,5.99591925,6.0951425,8.0
86535,I,1.1,0.7875,0.2875,9.99319875,3.35941575,1.8994165,2.6932025,6.0
86536,M,1.5,1.2125,0.375,26.63435525,11.97766375,5.9250455,8.50485,10.0
86537,M,1.85,1.4375,0.4875,56.1603595,28.17299575,11.226402,15.03940975,11.0
86538,I,1.3875,1.0375,0.3375,22.849697,12.82814875,4.819415,5.10291,9.0
86539,M,1.4625,1.15,0.4625,29.1149365,10.3475675,6.180191,10.20582,12.0
86540,F,0.925,0.725,0.2375,8.6465975,3.912231,1.8994165,2.28213475,9.0
86541,M,1.45,1.1375,0.3875,29.66775175,13.5227115,6.19436575,8.3631025,10.0
86542,F,1.475,1.1375,0.4125,30.1922175,13.96212875,6.520385,8.0796075,11.0
86543,I,1.225,0.975,0.3125,16.76872925,7.15824875,3.0333965,4.6776675,8.0
86544,I,1.325,1.0,0.3125,16.85377775,7.654365,3.005047,5.2446575,8.0
86545,M,1.375,1.1375,0.425,23.71435675,7.314171,4.77689075,8.03708325,9.0
